,Ques,Ans
0,To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,Saint Bernadette Soubirous
1,What is in front of the Notre Dame Main Building?,a copper statue of Christ
2,The Basilica of the Sacred heart at Notre Dame is beside to which structure?,the Main Building
3,What is the Grotto at Notre Dame?,a Marian place of prayer and reflection
4,What sits on top of the Main Building at Notre Dame?,a golden statue of the Virgin Mary
5,When did Beyonce start becoming popular?,in the late 1990s
6,What areas did Beyonce compete in when she was growing up?,singing and dancing
7,When did Beyonce leave Destiny's Child and become a solo singer?,2003
8,In what city and state did Beyonce  grow up? ,"Houston, Texas"
9,In which decade did Beyonce become famous?,late 1990s
10,In what R&B group was she the lead singer?,Destiny's Child
11,What album made her a worldwide known artist?,Dangerously in Love
12,Who managed the Destiny's Child group?,Mathew Knowles
13,In what city did Beyonce grow up?,Houston
14,What was the name of Beyonce's first solo album?,Dangerously in Love
15,On what date was Beyonce born?,"September 4, 1981"
16,What is Beyonce's full name?,Beyoncé Giselle Knowles-Carter
17,When did Beyoncé rise to fame?,late 1990s
18,What role did Beyoncé have in Destiny's Child?,lead singer
19,What was the first album Beyoncé released as a solo artist?,Dangerously in Love
20,When did Beyoncé release Dangerously in Love?,2003
21,How many Grammy awards did Beyoncé win for her first solo album?,five
22,What was Beyoncé's role in Destiny's Child?,lead singer
23,What was the name of Beyoncé's first solo album?,Dangerously in Love
24,When did Beyoncé release her first solo album?,2003
25,Where does the state's name come from?,Spanish word montaña (mountain)
26,What is the states rank in size?,4th
27,What is its rank in popularion?,44th
28,How many ranges are part of the Rocky Mountains?,77
29,Where does the state's name come from?,from the Spanish word montaña
30,"In the judgement, it is stated that the aim of the Genocide Convention, at its most simplest, is preventing the destruction of which victims?",entire human groups
31,"In addressing the issue of ""in part,"" the Appeals Chamber found that the part must be a substantial part of what?",that group
32,Which phrase is especially contentious within international humanitarian law?,"""in whole or in part"""
33,What 2001 case was declared genocide by the International Criminal Tribune for the Former Yugoslavia (ICTY)?,Prosecutor v. Radislav Krstic
34,Who contributed to guiding the Appeals chamber in its conclusion?,opinions of respected commentators
35,What is a modern common occurence with antibiotics?,resistance of bacteria
36,What is resistance to antibiotics a cause of?,evolution
37,When was the Luria-Delbruck experiment?,1943
38,Which two antibiotics that have high efficacy are much less useful now?,penicillin and erythromycin
39,What does emergence of resistance reflect?,evolutionary processes
40,What is the purpose of antibiotic treatment?,survive high doses of antibiotics
41,When was antibacterial-resistance demonstrated?,1943
42,Who made the demonstration in 1943?,Luria–Delbrück
43,What was Frédéric's nationalities?,Polish and French
44,In what era was Frédéric active in?,Romantic era
45,For what instrument did Frédéric write primarily for?,solo piano
46,In what area was Frédéric born in?,Duchy of Warsaw
47,At what age did Frédéric depart from Poland?,20
48,What year was Chopin born?,1810
49,What era was Chopin active during?,Romantic era
50,Where did Chopin grow up?,Warsaw
51,What instrument did he mostly compose for?,solo piano
52,At what age did Chopin  leave Poland?,20
53,When did Chopin die?,17 October 1849
54,What was Chopin's full name?,Fryderyk Franciszek Chopin
55,The majority of Chopin's compositions were for what instrument?,solo piano
56,Chopin was active during what era?,Romantic era
57,In what year was Chopin born?,1810
58,In what city was Chopin born and raised?,Warsaw
59,How old was Chopin when he left Poland?,20
60,In what era of music did Chopin compose?,Romantic
61,What year did Chopin die?,1849
62,Who were Wang Jiawei and Nyima Gyaincain?,Mainland Chinese scholars
63,Which company produces the iPod?,Apple
64,When was the original iPod released?,"October 23, 2001"
65,How many different types of iPod are currently available?,three
66,What kind of device is the iPod?,portable media players
67,The iPod Touch uses what kind of interface?,touchscreen
68,In what year was the first iPod released?,2001
69,What company manufactures the iPod?,Apple
70,How many versions of the iPod currently exist?,3
71,Which is the smallest version of the iPod?,Shuffle
72,In what year was the iPod most recently redesigned?,2015
73,What category of game is Legend of Zelda: Twilight Princess?,action-adventure
74,What consoles can be used to play Twilight Princess?,GameCube and Wii
75,When was Twilight Princess launched in North America?,November 2006
76,When could GameCube owners purchase Twilight Princess?,December 2006
77,What company developed Legend of Zelda: Twilight Princess?,Nintendo
78,What year was the Legend of Zelda:Twilight Princess originally planned for release?,2005
79,What year was the Wii version of Legend of Zelda: Twilight Princess released?,2006
80,Which company made Spectre?,Eon Productions
81,Who is the star of Spectre?,Daniel Craig
82,What role does Daniel Craig play in Spectre?,James Bond
83,What 007 movie did Sam Mendes previously direct?,Skyfall
84,How much money did it take to make Spectre?,$245
85,How many James Bond films has Eon Productions produced?,twenty-four
86,Which Bond film was the most expensive ever made?,Spectre
87,How many films has Daniel Craig appeared in as James Bond?,four
88,Which two movie studios distributed the James Bond film Spectre?,Metro-Goldwyn-Mayer and Columbia Pictures
89,Who directed Spectre?,Sam Mendes
90,In what year did the earthquake in Sichuan occur?,2008
91,What was the earthquake named?,the Great Sichuan earthquake
92,How many people were killed as a result?,"69,197"
93,What year did the Sichuan earthquake take place?,2008
94,What did the quake measure?,8.0 Ms and 7.9 Mw
95,What day did the earthquake occur?,May 12
96,What time of the day did the quake happen?,02:28:01 PM China Standard Time
97,How many people died?,"69,197"
98,What city in the United States has the highest population?,New York
99,In what city is the United Nations based?,New York
100,What city has been called the cultural capital of the world?,New York
101,What American city welcomes the largest number of legal immigrants?,New York
102,The major gateway for immigration has been which US city?,New York City
103,The most populated city in the United States is which city?,New York City
104,When did To Kill a Mockingbird first get circulated?,1960
105,What prize did To Kill a Mockingbird win?,Pulitzer Prize
106,Who wrote To Kill a Mockingbird?,Harper Lee
107,Who wrote the novel To Kill a Mockingbird?,Harper Lee
108,What year was To Kill a Mockingbird first published?,1960
109,Whom did Lee base the characters in To Kill a Mockingbird on?,her family and neighbors
110,Where does solar energy come from?,the Sun
111,What kind of energy consists of the light and heat provided by the Sun?,Solar energy
112,What technologies are used to harness solar energy from the sun?,"solar heating, photovoltaics, solar thermal energy, solar architecture and artificial photosynthesis"
113,What is solar energy?,radiant light and heat from the Sun
114,What are some of the empires and dynasties that have also ruled over this land?,"Achaemenid Empire, Sassanian Empire, Hephthalite Empire, Samanid Empire, Mongol Empire, Timurid dynasty, and the Russian Empire"
115,What other culutres has ruled the area?,"Oxus civilization, Andronovo culture, Buddhism, Nestorian Christianity, Zoroastrianism, and Manichaeism"
116,What was the territory of Tajikistan during the Neolithic and the Bronze Age?,city of Sarazm
117,When did Tajikistan become an independent nation?,1991
118,What years did the civil war take place?,1992 to 1997
119,What were some of the different kindoms and people that called Tajikistan home?,"Oxus civilization, Andronovo culture, Buddhism, Nestorian Christianity, Zoroastrianism, and Manichaeism"
120,What are some of the empires and dynasties that ruled this lane?,"the Achaemenid Empire, Sassanian Empire, Hephthalite Empire, Samanid Empire, Mongol Empire, Timurid dynasty, and the Russian Empire"
121,What year did Tajikistan become an independant nation?,1991
122,What years did the war last through?,1992 to 1997
123,What is anthropology a study of?,humans and their societies
124,What type of anthropology describes the workings of societies around the world?,social
125,What investigates the influence of language in social life?,linguistic anthropology
126,What subdivision of anthropology concerns itself with the long-term development of the human organism?,physical
127,Where is Archaeology considered a branch of anthropology?,United States
128,What happened to Joseph I in 1758?,wounded in an attempted assassination
129,Who was implicated in the attempted assassination of Joseph I?,The Távora family and the Duke of Aveiro
130,Who was expelled from the country after the assassination attempt on Joseph I?,The Jesuits
131,In what year did Joseph I make his minister the Count of Oeiras?,1759
132,What act finally broke the power of the aristocracy?,"Sebastião de Melo prosecuted every person involved, even women and children"
133,What year was Kanye born?,1977
134,What kind of music does Kanye West perform?,hip hop
135,What is Kanye West's middle name?,Omari
136,When is Kanye West's birthday?,"June 8, 1977"
137,What type of religion is Buddhism?,nontheistic
138,What are the practices of Buddhism based on?,teachings attributed to Gautama Buddha
139,Where did the Buddha live?,present-day Nepal
140,How do Buddhists believe their suffering can be ended?,through the direct understanding and perception of dependent origination and the Four Noble Truths
141,What did the Buddha teach should be given up to end suffering?,ignorance and craving
142,What type of religion is Buddhism?,nontheistic religion
143,Who's teaching is Buddhism based upon?,Gautama Buddha
144,When was Buddha alive?,between the 6th and 4th centuries BCE
145,Where did Buddha reside when he was alive?,present-day Nepal
146,Who's teachings is Buddhism based upon?,Gautama Buddha
147,Where was Buddha thought to live?,Nepal
148,When approximately was Buddha alive?,sometime between the 6th and 4th centuries BCE
149,Buddhism is based on the teaching of who?,Gautama Buddha
150,How many noble truths are there?,4
151,Buddha was part of what subcontinent?,Indian
152,"Who is ""the awakened one""",Buddha
153,Who is the creator of American Idol?,Simon Fuller
154,What company produces American idol?,19 Entertainment
155,What year did American Idol begin airing?,2002
156,What British show is American Idols format based on?,Pop Idol
157,What television network does American Idol air on?,Fox
158,What company produces American Idol?,19 Entertainment
159,What British series is American Idols format based on?,Pop Idol
160,Who created American Idol?,Simon Fuller
161,Who produced American Idol?,19 Entertainment
162,When did American Idol first air on TV?,"June 11, 2002"
163,What British show was American Idol based on?,Pop Idol
164,What is the three word Latin name for domesticated dogs?,Canis lupus familiaris
165,What is Canis familiaris?,domestic dog
166,How long has the domestic dog been selectively bred?,millennia
167,"Along with various behaviors and physical attributes, what were domestic dogs bred for?",sensory capabilities
